"Cmdlet","RuleName","Message"
"Add-AzVmssGalleryApplication","Unassigned Variable","""Get-AzVmss -Name $vmssName is a null-valued parameter value."""
"Add-AzVmssGalleryApplication","Unassigned Variable","""New-AzVmssGalleryApplication -PackageReferenceId $packageRefId is a null-valued parameter value."""
"Add-AzVmssGalleryApplication","Unassigned Variable","""New-AzVmssGalleryApplication -ConfigReferenceId $configRefId is a null-valued parameter value."""
"Add-AzVmssGalleryApplication","Invalid ParameterName","""Add-AzVmssGalleryApplication -VM"" is not a valid parameter name."
"Add-AzVmssNetworkInterfaceConfiguration","Unassigned Variable","""Add-AzVmssNetworkInterfaceConfiguration -VirtualMachineScaleSet $VMSS is a null-valued parameter value."""
"Add-AzVmssNetworkInterfaceConfiguration","Unassigned Variable","""Add-AzVmssNetworkInterfaceConfiguration -Primary $True is a null-valued parameter value."""
"Add-AzVmssNetworkInterfaceConfiguration","Unassigned Variable","""Add-AzVmssNetworkInterfaceConfiguration -IPConfiguration $IPCfg is a null-valued parameter value."""
"Add-AzVmssRunCommand","Unassigned Variable","""Add-AzVmssRunCommand -ResourceGroupName $rgname is a null-valued parameter value."""
"Add-AzVmssRunCommand","Unassigned Variable","""Add-AzVmssRunCommand -VMScaleSetName $vmssname is a null-valued parameter value."""
"Add-AzVmssSecret","RedirectionNotSupported","The '<' operator is reserved for future use."
"Add-AzVmssSecret","RedirectionNotSupported","The '<' operator is reserved for future use."
"Add-AzVmssSecret","MissingEqualsInHashLiteral","Missing '=' operator after key in hash literal."
"Add-AzVmssSecret","MissingEndCurlyBrace","Missing closing '}' in statement block or type definition."
"Add-AzVmssSecret","Unassigned Parameter","""Get-AzVmss -ResourceGroupName"" must be assigned with a value."
"Add-AzVmssSecret","Unassigned Parameter","""Get-AzVmss -VMScaleSetName"" must be assigned with a value."
"Add-AzVmssSecret","Incorrect ParameterType","""Add-AzVmssSecret -SourceVaultId $Vault.ResourceId"" is not an expected parameter type."
"Add-AzVmssSecret","Incorrect ParameterType","""Add-AzVmssSecret -VaultCertificate $CertConfig"" is not an expected parameter type."
"Add-AzVmssVMDataDisk","Unassigned Variable","""Get-AzDisk -ResourceGroupName $rgname is a null-valued parameter value."""
"Add-AzVmssVMDataDisk","Unassigned Variable","""Get-AzDisk -DiskName $diskname0 is a null-valued parameter value."""
"Add-AzVmssVMDataDisk","Incorrect ParameterType","""Add-AzVmssVMDataDisk -ManagedDiskId $disk.Id"" is not an expected parameter type."
"Export-AzLogAnalyticRequestRateByInterval","Incorrect ParameterType","""Export-AzLogAnalyticRequestRateByInterval -FromTime '2018-02-20T17:54:14.8806951-08:00'"" is not an expected parameter type."
"Export-AzLogAnalyticRequestRateByInterval","Incorrect ParameterType","""Export-AzLogAnalyticRequestRateByInterval -ToTime '2018-02-22T17:54:17.5832413-08:00'"" is not an expected parameter type."
"Export-AzLogAnalyticRequestRateByInterval","Incorrect ParameterType","""Export-AzLogAnalyticRequestRateByInterval -FromTime '2018-02-20T17:54:14.8806951-08:00'"" is not an expected parameter type."
"Export-AzLogAnalyticRequestRateByInterval","Incorrect ParameterType","""Export-AzLogAnalyticRequestRateByInterval -ToTime '2018-02-22T17:54:17.5832413-08:00'"" is not an expected parameter type."
"Export-AzLogAnalyticRequestRateByInterval","Incorrect ParameterType","""Export-AzLogAnalyticRequestRateByInterval -FromTime '2018-02-20T17:54:14.8806951-08:00'"" is not an expected parameter type."
"Export-AzLogAnalyticRequestRateByInterval","Incorrect ParameterType","""Export-AzLogAnalyticRequestRateByInterval -ToTime '2018-02-22T17:54:17.5832413-08:00'"" is not an expected parameter type."
"Export-AzLogAnalyticThrottledRequest","Incorrect ParameterType","""Export-AzLogAnalyticThrottledRequest -FromTime '2018-02-20T17:54:14.8806951-08:00'"" is not an expected parameter type."
"Export-AzLogAnalyticThrottledRequest","Incorrect ParameterType","""Export-AzLogAnalyticThrottledRequest -ToTime '2018-02-22T17:54:17.5832413-08:00'"" is not an expected parameter type."
"Export-AzLogAnalyticThrottledRequest","Incorrect ParameterType","""Export-AzLogAnalyticThrottledRequest -FromTime '2018-02-20T17:54:14.8806951-08:00'"" is not an expected parameter type."
"Export-AzLogAnalyticThrottledRequest","Incorrect ParameterType","""Export-AzLogAnalyticThrottledRequest -ToTime '2018-02-22T17:54:17.5832413-08:00'"" is not an expected parameter type."
"Export-AzLogAnalyticThrottledRequest","Incorrect ParameterType","""Export-AzLogAnalyticThrottledRequest -FromTime '2018-02-20T17:54:14.8806951-08:00'"" is not an expected parameter type."
"Export-AzLogAnalyticThrottledRequest","Incorrect ParameterType","""Export-AzLogAnalyticThrottledRequest -ToTime '2018-02-22T17:54:17.5832413-08:00'"" is not an expected parameter type."
"Get-AzCapacityReservation","Unassigned Variable","""Get-AzCapacityReservation -ResourceGroupName $rgname is a null-valued parameter value."""
"Get-AzCapacityReservation","Unassigned Variable","""Get-AzCapacityReservation -ResourceGroupName $rgname is a null-valued parameter value."""
"Get-AzCapacityReservationGroup","Unassigned Variable","""Get-AzCapacityReservationGroup -ResourceGroupName $rgname is a null-valued parameter value."""
"Get-AzCapacityReservationGroup","Unassigned Variable","""Get-AzCapacityReservationGroup -ResourceGroupName $rgname is a null-valued parameter value."""
"Get-AzDiskEncryptionSetAssociatedResource","Unassigned Variable","""Get-AzDiskEncryptionSetAssociatedResource -ResourceGroupName $RGname is a null-valued parameter value."""
"Get-AzDiskEncryptionSetAssociatedResource","Unassigned Variable","""Get-AzDiskEncryptionSetAssociatedResource -DiskEncryptionSetName $diskEncryptionSetName is a null-valued parameter value."""
"Get-AzGalleryApplication","Unassigned Variable","""Get-AzGalleryApplication -ResourceGroupName $rgName is a null-valued parameter value."""
"Get-AzGalleryApplication","Unassigned Variable","""Get-AzGalleryApplication -GalleryName $galleryName is a null-valued parameter value."""
"Get-AzGalleryApplication","Unassigned Variable","""Get-AzGalleryApplication -name $galleryAppName is a null-valued parameter value."""
"Get-AzGalleryApplication","Unassigned Variable","""Get-AzGalleryApplication -GalleryName $GalleryName is a null-valued parameter value."""
"Get-AzGalleryApplication","Unassigned Variable","""Get-AzGalleryApplication -ResourceGroupName $rgName is a null-valued parameter value."""
"Get-AzGalleryApplicationVersion","Unassigned Variable","""Get-AzGalleryApplicationVersion -ResourceGroupName $rgName is a null-valued parameter value."""
"Get-AzGalleryApplicationVersion","Unassigned Variable","""Get-AzGalleryApplicationVersion -GalleryName $galleryName is a null-valued parameter value."""
"Get-AzGalleryApplicationVersion","Unassigned Variable","""Get-AzGalleryApplicationVersion -GalleryApplicationName $galleryAppName is a null-valued parameter value."""
"Get-AzGalleryApplicationVersion","Unassigned Variable","""Get-AzGalleryApplicationVersion -Name $versionName is a null-valued parameter value."""
"Get-AzGalleryApplicationVersion","Unassigned Variable","""Get-AzGalleryApplicationVersion -GalleryName $GalleryName is a null-valued parameter value."""
"Get-AzGalleryApplicationVersion","Unassigned Variable","""Get-AzGalleryApplicationVersion -ResourceGroupName $rgName is a null-valued parameter value."""
"Get-AzGalleryApplicationVersion","Unassigned Variable","""Get-AzGalleryApplicationVersion -GalleryApplicationName $galleryAppName is a null-valued parameter value."""
"Get-AzHost","Unassigned Variable","""Get-AzHost -ResourceGroupName $resourceGroupName is a null-valued parameter value."""
"Get-AzHost","Unassigned Variable","""Get-AzHost -HostGroupName $hostGroupName is a null-valued parameter value."""
"Get-AzHost","Unassigned Variable","""Get-AzHost -Name $hostName is a null-valued parameter value."""
"Get-AzHost","Unassigned Variable","""Get-AzHost -ResourceGroupName $resourceGroupName is a null-valued parameter value."""
"Get-AzHost","Unassigned Variable","""Get-AzHost -HostGroupName $hostGroupName is a null-valued parameter value."""
"Get-AzHost","Unassigned Variable","""Get-AzHost -Name $hostName is a null-valued parameter value."""
"Get-AzHost","Unassigned Variable","""Get-AzHost -ResourceGroupName $resourceGroupName is a null-valued parameter value."""
"Get-AzHost","Unassigned Variable","""Get-AzHost -HostGroupName $hostGroupName is a null-valued parameter value."""
"Get-AzHostGroup","Unassigned Variable","""Get-AzHostGroup -ResourceGroupName $resourceGroupName is a null-valued parameter value."""
"Get-AzHostGroup","Unassigned Variable","""Get-AzHostGroup -HostGroupName $hostGroupName is a null-valued parameter value."""
"Get-AzHostGroup","Unassigned Variable","""Get-AzHostGroup -ResourceGroupName $resourceGroupName is a null-valued parameter value."""
"Get-AzProximityPlacementGroup","Invalid Cmdlet","""Get-AzureRmProximityPlacementGroup"" is not a valid command name."
"Get-AzProximityPlacementGroup","Invalid Cmdlet","""Get-AzureRmProximityPlacementGroup"" is not a valid command name."
"Get-AzProximityPlacementGroup","Invalid Cmdlet","""Get-AzureRmProximityPlacementGroup"" is not a valid command name."
"Get-AzRestorePoint","RedirectionNotSupported","The '<' operator is reserved for future use."
"Get-AzRestorePoint","RedirectionNotSupported","The '<' operator is reserved for future use."
"Get-AzRestorePoint","RedirectionNotSupported","The '<' operator is reserved for future use."
"Get-AzRestorePoint","Unassigned Parameter","""Get-AzRestorePoint -ResourceGroupName"" must be assigned with a value."
"Get-AzRestorePoint","Unassigned Parameter","""Get-AzRestorePoint -RestorePointCollectionName"" must be assigned with a value."
"Get-AzRestorePoint","Unassigned Parameter","""Get-AzRestorePoint -Name"" must be assigned with a value."
"Get-AzRestorePointCollection","RedirectionNotSupported","The '<' operator is reserved for future use."
"Get-AzRestorePointCollection","RedirectionNotSupported","The '<' operator is reserved for future use."
"Get-AzRestorePointCollection","RedirectionNotSupported","The '<' operator is reserved for future use."
"Get-AzRestorePointCollection","Unassigned Parameter","""Get-AzRestorePointCollection -ResourceGroupName"" must be assigned with a value."
"Get-AzVM","RedirectionNotSupported","The '<' operator is reserved for future use."
"Get-AzVM","RedirectionNotSupported","The '<' operator is reserved for future use."
"Get-AzVMExtension","Invalid ParameterName","""Get-AzVMExtension -VM"" is not a valid parameter name."
"Get-AzVMRunCommand","Unassigned Variable","""Get-AzVMRunCommand -ResourceGroupName $rgname is a null-valued parameter value."""
"Get-AzVMRunCommand","Unassigned Variable","""Get-AzVMRunCommand -VMName $vmname is a null-valued parameter value."""
"Get-AzVMRunCommand","Unassigned Variable","""Get-AzVMRunCommand -ResourceGroupName $rgname is a null-valued parameter value."""
"Get-AzVMRunCommand","Unassigned Variable","""Get-AzVMRunCommand -VMName $vmname is a null-valued parameter value."""
"Get-AzVMSqlServerExtension","Invalid ParameterName","""Get-AzVM -ServiceName"" is not a valid parameter name."
"Get-AzVMSqlServerExtension","Invalid ParameterName","""Get-AzVMSqlServerExtension -Version"" is not a valid parameter name."
"Get-AzVmss","RedirectionNotSupported","The '<' operator is reserved for future use."
"Get-AzVmss","RedirectionNotSupported","The '<' operator is reserved for future use."
"Get-AzVmssVM","Unassigned Variable","""Get-AzVmssVM -InstanceId $ID is a null-valued parameter value."""
"Get-AzVmssVM","Unassigned Variable","""Get-AzVmssVM -ResourceGroupName $rgname is a null-valued parameter value."""
"Get-AzVmssVM","Unassigned Variable","""Get-AzVmssVM -VMScaleSetName $vmssName is a null-valued parameter value."""
"Get-AzVmssVM","Unassigned Variable","""Get-AzVmssVM -InstanceId $ID is a null-valued parameter value."""
"Get-AzVmssVMRunCommand","Unassigned Variable","""Get-AzVmssVMRunCommand -ResourceGroupName $rgname is a null-valued parameter value."""
"Get-AzVmssVMRunCommand","Unassigned Variable","""Get-AzVmssVMRunCommand -VMScaleSetName $vmssname is a null-valued parameter value."""
"Get-AzVmssVMRunCommand","Unassigned Variable","""Get-AzVmssVMRunCommand -ResourceGroupName $rgname is a null-valued parameter value."""
"Get-AzVmssVMRunCommand","Unassigned Variable","""Get-AzVmssVMRunCommand -VMScaleSetName $vmssname is a null-valued parameter value."""
"Invoke-AzVMInstallPatch","Unknown ParameterName","""Invoke-AzVmInstallPatch ]"" is not explicitly assigned to a parameter."
"Invoke-AzVMInstallPatch","Unknown ParameterName","""Invoke-AzVmInstallPatch ]"" is not explicitly assigned to a parameter."
"Invoke-AzVMInstallPatch","Incorrect ParameterType","""Invoke-AzVMInstallPatch -ResourceId $myLinuxVM.id"" is not an expected parameter type."
"New-AzDisk","Invalid Cmdlet","""https://myvault.vault-int.azure-int.net/secrets/123/"" is not a valid command name."
"New-AzDisk","Invalid Cmdlet","""https://myvault.vault-int.azure-int.net/keys/456"" is not a valid command name."
"New-AzDisk","Unassigned Variable","""New-AzDiskConfig -EncryptionSettingsEnabled $true is a null-valued parameter value."""
"New-AzDisk","Unassigned Variable","""New-AzDiskConfig -EncryptionSettingsEnabled $true is a null-valued parameter value."""
"New-AzDisk","Incorrect ParameterType","""New-AzDiskConfig -GalleryImageReference $imageOSDisk"" is not an expected parameter type."
"New-AzDisk","Incorrect ParameterType","""New-AzDiskConfig -GalleryImageReference $imageDataDisk"" is not an expected parameter type."
"New-AzDiskConfig","Invalid Cmdlet","""https://myvault.vault-int.azure-int.net/secrets/123/"" is not a valid command name."
"New-AzDiskConfig","Invalid Cmdlet","""https://myvault.vault-int.azure-int.net/keys/456"" is not a valid command name."
"New-AzDiskConfig","Unassigned Variable","""New-AzDiskConfig -EncryptionSettingsEnabled $true is a null-valued parameter value."""
"New-AzDiskConfig","Incorrect ParameterType","""New-AzDiskConfig -GalleryImageReference $galleryImageReference"" is not an expected parameter type."
"New-AzDiskPurchasePlanConfig","Unassigned Variable","""New-AzDiskConfig -PurchasePlan $diskPurchasePlan is a null-valued parameter value."""
"New-AzDiskUpdateConfig","Invalid Cmdlet","""https://myvault.vault-int.azure-int.net/secrets/123/"" is not a valid command name."
"New-AzDiskUpdateConfig","Invalid Cmdlet","""https://myvault.vault-int.azure-int.net/keys/456"" is not a valid command name."
"New-AzDiskUpdateConfig","Invalid ParameterName","""New-AzDiskUpdateConfig -CreateOption"" is not a valid parameter name."
"New-AzDiskUpdateConfig","Unassigned Variable","""New-AzDiskUpdateConfig -EncryptionSettingsEnabled $true is a null-valued parameter value."""
"New-AzGallery","Unassigned Variable","""New-AzGallery -ResourceGroupName $rgname is a null-valued parameter value."""
"New-AzGallery","Unassigned Variable","""New-AzGallery -Name $galleryName is a null-valued parameter value."""
"New-AzGallery","Unassigned Variable","""New-AzGallery -Location $location is a null-valued parameter value."""
"New-AzGallery","Unassigned Variable","""New-AzGallery -Description $galleryDescription is a null-valued parameter value."""
"New-AzGalleryApplication","Unassigned Variable","""New-AzGalleryApplication -ResourceGroupName $rgName is a null-valued parameter value."""
"New-AzGalleryApplication","Unassigned Variable","""New-AzGalleryApplication -GalleryName $galleryName is a null-valued parameter value."""
"New-AzGalleryApplication","Unassigned Variable","""New-AzGalleryApplication -Name $name is a null-valued parameter value."""
"New-AzGalleryApplicationVersion","Capitalization Conventions","""new-azstorageblobsastoken"" doesn't follow the Capitalization Conventions."
"New-AzGalleryApplicationVersion","Unassigned Variable","""New-AzStorageContext -StorageAccountName $storAccName is a null-valued parameter value."""
"New-AzGalleryApplicationVersion","Unassigned Variable","""new-azstorageblobsastoken -Container $containerName is a null-valued parameter value."""
"New-AzGalleryApplicationVersion","Unassigned Variable","""new-azstorageblobsastoken -blob $blobName is a null-valued parameter value."""
"New-AzGalleryApplicationVersion","Unassigned Variable","""Get-AzStorageAccount -ResourceGroupName $rgName is a null-valued parameter value."""
"New-AzGalleryApplicationVersion","Unassigned Variable","""Get-AzStorageAccount -Name $storAccName is a null-valued parameter value."""
"New-AzGalleryApplicationVersion","Unassigned Variable","""Get-AzStorageBlob -Container $containerName is a null-valued parameter value."""
"New-AzGalleryApplicationVersion","Unassigned Variable","""Get-AzStorageBlob -Blob $blobName is a null-valued parameter value."""
"New-AzGalleryApplicationVersion","Incorrect ParameterType","""Get-AzStorageBlob -Context $storAcc.Context"" is not an expected parameter type."
"New-AzGalleryApplicationVersion","Unassigned Variable","""New-AzStorageBlobSASToken -Container $containerName is a null-valued parameter value."""
"New-AzGalleryApplicationVersion","Unassigned Variable","""New-AzStorageBlobSASToken -Blob $blobName is a null-valued parameter value."""
"New-AzGalleryApplicationVersion","Incorrect ParameterType","""New-AzStorageBlobSASToken -Context $storAcc.Context"" is not an expected parameter type."
"New-AzGalleryApplicationVersion","Unassigned Variable","""New-AzGalleryApplicationVersion -ResourceGroupName $rgname is a null-valued parameter value."""
"New-AzGalleryApplicationVersion","Unassigned Variable","""New-AzGalleryApplicationVersion -GalleryName $galleryName is a null-valued parameter value."""
"New-AzGalleryApplicationVersion","Unassigned Variable","""New-AzGalleryApplicationVersion -GalleryApplicationName $galleryApplicationName is a null-valued parameter value."""
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsState ""Specialized"""" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsType ""Linux"""" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsState ""Generalized"""" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsType ""Linux"""" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsState ""Specialized"""" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsType ""Windows"""" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsState ""Generalized"""" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsType ""Windows"""" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -Feature $features"" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsState ""Generalized"""" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsType ""Linux"""" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsState ""Generalized"""" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsType ""Linux"""" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -EndOfLifeDate $endOfLifeDate"" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsState ""Generalized"""" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsType ""Linux"""" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsState ""Generalized"""" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsType ""Linux"""" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsState ""Generalized"""" is not an expected parameter type."
"New-AzGalleryImageDefinition","Incorrect ParameterType","""New-AzGalleryImageDefinition -OsType ""Linux"""" is not an expected parameter type."
"New-AzGalleryImageVersion","UnexpectedToken","Unexpected token '}' in expression or statement."
"New-AzGalleryImageVersion","Invalid Cmdlet","""Standard_LRS"" is not a valid command name."
"New-AzGalleryImageVersion","Incorrect ParameterType","""New-AzGalleryImageVersion -TargetRegion $targetRegions"" is not an expected parameter type."
"New-AzGalleryImageVersion","Unassigned Variable","""New-AzGalleryImageVersion -SourceImageId $sourceImageId is a null-valued parameter value."""
"New-AzGalleryImageVersion","Unassigned Variable","""New-AzGalleryImageVersion -SourceImageId $sourceImageId is a null-valued parameter value."""
"New-AzGalleryImageVersion","Incorrect ParameterType","""New-AzGalleryImageVersion -PublishingProfileEndOfLifeDate $endOfLifeDate"" is not an expected parameter type."
"New-AzGalleryImageVersion","Incorrect ParameterType","""New-AzGalleryImageVersion -OSDiskImage $osDisk"" is not an expected parameter type."
"New-AzGalleryImageVersion","Incorrect ParameterType","""New-AzGalleryImageVersion -OSDiskImage $osDisk"" is not an expected parameter type."
"New-AzGalleryImageVersion","Incorrect ParameterType","""New-AzGalleryImageVersion -DataDiskImage $dataDisks"" is not an expected parameter type."
"New-AzGalleryImageVersion","Unassigned Variable","""New-AzGalleryImageVersion -OSDiskImage $osDisk is a null-valued parameter value."""
"New-AzGalleryImageVersion","Incorrect ParameterType","""New-AzGalleryImageVersion -OSDiskImage $osSnapshot"" is not an expected parameter type."
"New-AzGalleryImageVersion","Incorrect ParameterType","""New-AzGalleryImageVersion -DataDiskImage $dataDisks"" is not an expected parameter type."
"New-AzGalleryImageVersion","Incorrect ParameterType","""New-AzGalleryImageVersion -OSDiskImage $osSnapshot"" is not an expected parameter type."
"New-AzGalleryImageVersion","Incorrect ParameterType","""New-AzGalleryImageVersion -DataDiskImage $dataDisks"" is not an expected parameter type."
"New-AzGalleryImageVersion","Invalid Cmdlet","""Standard_LRS"" is not a valid command name."
"New-AzGalleryImageVersion","Invalid Cmdlet","""Standard_LRS"" is not a valid command name."
"New-AzGalleryImageVersion","Incorrect ParameterType","""New-AzGalleryImageVersion -TargetRegion $targetRegions"" is not an expected parameter type."
"New-AzHost","Unassigned Variable","""New-AzHost -ResourceGroupName $resourceGroupName is a null-valued parameter value."""
"New-AzHost","Unassigned Variable","""New-AzHost -HostGroupName $hostGroupName is a null-valued parameter value."""
"New-AzHost","Unassigned Variable","""New-AzHost -Name $hostName is a null-valued parameter value."""
"New-AzHost","Unassigned Variable","""New-AzHost -Location $location is a null-valued parameter value."""
"New-AzHost","Unassigned Variable","""New-AzHost -Sku $skuName is a null-valued parameter value."""
"New-AzHostGroup","Unassigned Variable","""New-AzHostGroup -ResourceGroupName $resourceGroupName is a null-valued parameter value."""
"New-AzHostGroup","Unassigned Variable","""New-AzHostGroup -Name $hostGroupName is a null-valued parameter value."""
"New-AzHostGroup","Unassigned Variable","""New-AzHostGroup -Location $location is a null-valued parameter value."""
"New-AzHostGroup","Unassigned Variable","""New-AzHostGroup -Zone $zone is a null-valued parameter value."""
"New-AzImage","Incorrect ParameterType","""Set-AzImageOsDisk -OsType 'Windows'"" is not an expected parameter type."
"New-AzImage","Incorrect ParameterType","""Set-AzImageOsDisk -OsState 'Generalized'"" is not an expected parameter type."
"New-AzImageConfig","Incorrect ParameterType","""Set-AzImageOsDisk -OsType 'Windows'"" is not an expected parameter type."
"New-AzImageConfig","Incorrect ParameterType","""Set-AzImageOsDisk -OsState 'Generalized'"" is not an expected parameter type."
"New-AzProximityPlacementGroup","Invalid Cmdlet","""New-AzureRmProximityPlacementGroup"" is not a valid command name."
"New-AzProximityPlacementGroup","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzProximityPlacementGroup","Unassigned Parameter","""New-AzProximityPlacementGroup -ProximityPlacementGroupType"" must be assigned with a value."
"New-AzRestorePoint","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzRestorePoint","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzRestorePoint","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzRestorePoint","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzRestorePoint","Unassigned Parameter","""New-AzRestorePoint -ResourceGroupName"" must be assigned with a value."
"New-AzRestorePoint","Unassigned Parameter","""New-AzRestorePoint -RestorePointCollectionName"" must be assigned with a value."
"New-AzRestorePointCollection","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzRestorePointCollection","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzRestorePointCollection","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzRestorePointCollection","Unassigned Parameter","""New-AzRestorePointCollection -ResourceGroupName"" must be assigned with a value."
"New-AzRestorePointCollection","Unassigned Parameter","""New-AzRestorePointCollection -Name"" must be assigned with a value."
"New-AzRestorePointCollection","Unassigned Parameter","""New-AzRestorePointCollection -VmId"" must be assigned with a value."
"New-AzSnapshot","Invalid Cmdlet","""https://myvault.vault-int.azure-int.net/secrets/123/"" is not a valid command name."
"New-AzSnapshot","Invalid Cmdlet","""https://myvault.vault-int.azure-int.net/keys/456"" is not a valid command name."
"New-AzSnapshot","Unassigned Variable","""New-AzSnapshotConfig -EncryptionSettingsEnabled $true is a null-valued parameter value."""
"New-AzSnapshotConfig","Invalid Cmdlet","""https://myvault.vault-int.azure-int.net/secrets/123/"" is not a valid command name."
"New-AzSnapshotConfig","Invalid Cmdlet","""https://myvault.vault-int.azure-int.net/keys/456"" is not a valid command name."
"New-AzSnapshotConfig","Unassigned Variable","""New-AzSnapshotConfig -EncryptionSettingsEnabled $true is a null-valued parameter value."""
"New-AzSnapshotUpdateConfig","Invalid Cmdlet","""https://myvault.vault-int.azure-int.net/secrets/123/"" is not a valid command name."
"New-AzSnapshotUpdateConfig","Invalid Cmdlet","""https://myvault.vault-int.azure-int.net/keys/456"" is not a valid command name."
"New-AzSnapshotUpdateConfig","Invalid ParameterName","""New-AzSnapshotUpdateConfig -CreateOption"" is not a valid parameter name."
"New-AzSnapshotUpdateConfig","Unassigned Variable","""New-AzSnapshotUpdateConfig -EncryptionSettingsEnabled $true is a null-valued parameter value."""
"New-AzSshKey","Unassigned Variable","""New-AzSshKey -PublicKey $publicKey is a null-valued parameter value."""
"New-AzVM","Incorrect ParameterType","""New-AzVirtualNetwork -Subnet $SingleSubnet"" is not an expected parameter type."
"New-AzVM","Incorrect ParameterType","""New-AzNetworkInterface -SubnetId $Vnet.Subnets[0].Id"" is not an expected parameter type."
"New-AzVM","Incorrect ParameterType","""New-AzNetworkInterface -PublicIpAddressId $PIP.Id"" is not an expected parameter type."
"New-AzVM","Incorrect ParameterType","""Set-AzVMOperatingSystem -Credential $Credential"" is not an expected parameter type."
"New-AzVM","Incorrect ParameterType","""Add-AzVMNetworkInterface -Id $NIC.Id"" is not an expected parameter type."
"New-AzVM","Incorrect ParameterType","""Set-AzVMOSDisk -Caching $OSDiskCaching"" is not an expected parameter type."
"New-AzVM","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzVM","Incorrect ParameterType","""New-AzVirtualNetwork -Subnet $SingleSubnet"" is not an expected parameter type."
"New-AzVM","Incorrect ParameterType","""New-AzNetworkInterface -SubnetId $Vnet.Subnets[0].Id"" is not an expected parameter type."
"New-AzVM","Incorrect ParameterType","""Set-AzVMOperatingSystem -Credential $Credential"" is not an expected parameter type."
"New-AzVM","Incorrect ParameterType","""Add-AzVMNetworkInterface -Id $NIC.Id"" is not an expected parameter type."
"New-AzVM","Unassigned Variable","""New-AzVM -Credential $cred is a null-valued parameter value."""
"New-AzVMConfig","Incorrect ParameterType","""New-AzVMConfig -AvailabilitySetID $AvailabilitySet.Id"" is not an expected parameter type."
"New-AzVMDataDisk","Incorrect ParameterType","""New-AzVMDataDisk -Caching 'ReadOnly'"" is not an expected parameter type."
"New-AzVMDataDisk","Incorrect ParameterType","""New-AzVMDataDisk -ManagedDiskId $disk.Id"" is not an expected parameter type."
"New-AzVMDataDisk","Incorrect ParameterType","""Update-AzVmssVM -DataDisk $datadisk"" is not an expected parameter type."
"New-AzVmGalleryApplication","Unassigned Variable","""Get-AzVm -ResourceGroupName $rgName is a null-valued parameter value."""
"New-AzVmGalleryApplication","Unassigned Variable","""Get-AzVm -Name $vmName is a null-valued parameter value."""
"New-AzVmGalleryApplication","Unassigned Variable","""New-AzVmGalleryApplication -PackageReferenceId $packageRefId is a null-valued parameter value."""
"New-AzVmGalleryApplication","Unassigned Variable","""New-AzVmGalleryApplication -ConfigReferenceId $configRefId is a null-valued parameter value."""
"New-AzVMSqlServerAutoBackupConfig","Invalid ParameterName","""New-AzVMSqlServerAutoBackupConfig -RetentionPeriod"" is not a valid parameter name."
